,Origin,Origin_colours,Pool,Pool_colours,Measurer,Measurer_colours,Species,Species_colours,WingLength,T6Length,T1Length,ForkDepth,BillLength,BillWidth,BillDepth,ArchDepth,SkullLength,TarsusLength,ParaseptalProcessPlacement,EarCovertExtent,CollarExtent,Scapulars,SecondaryExtent,SecondaryShape,EarCovertColour,CollarColour,FlankColour
D-206808,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,119,43,39,4,12.4,8.3,9.2,4,50.6,26.2,50,4,1,3,4,4,3,1,3
D-206809,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA
D-206810,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,120,40,37,3,13.1,8.6,9.2,4.5,52.8,27,50,4,2,4,3,4,2,2,3
D-206811,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,116,40,38,2,12.8,8.1,8.6,5,49.8,23.9,50,4,1,4,3,4,2,1,3
D-206812,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,122,43,40,3,11.8,8.8,9.4,5.7,53,26.5,50,4,2,4,3,4,3,2,3
D-206813,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,121,44,39,5,14.5,8.8,9.8,5.4,51.5,24.6,NA,4,1,4,3,4,2,1,NA
D-206814,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,117,38,37,1,11.8,8.1,9.8,4.5,53.7,25.3,50,4,2,4,3,4,3,2,3
D-206815,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,122,40,37,3,11.8,8.5,9.8,5.3,50.6,24.7,50,3,1,3,2,4,3,1,2
D-206816,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,121,40,NA,NA,11.1,7.8,9,3.3,50.9,24.9,NA,4,2,4,NA,NA,2,3,3
D-206818,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,124,46,38,8,12.4,8.8,10.2,4.1,52.7,26.9,50,4,1,2,3,4,3,1,3
D-206819,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,116,39,37,2,12,8.2,9.2,6.6,51.7,23.5,NA,4,2,4,3,4,3,3,3
D-206820,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,113,42,35,7,11.8,9.1,9.2,5.4,49.9,25.4,50,3,2,3,3,4,2,3,3
D-206822,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,117,43,37,6,13,9.6,9.9,5.6,49.4,25.5,NA,4,2,3,3,4,2,3,3
D-206824,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,119,47,41,6,13.8,8.9,10.2,5.5,53.2,25.4,NA,3,1,2,3,4,3,1,NA
D-206826,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,122,39,NA,NA,13.4,8.8,10.2,5.1,53.5,25.5,50,4,2,3,3,4,2,2,3
D-206828,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA
D-206829,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,116,40,37,3,14.6,8.3,8.6,4.6,52.1,26.2,50,NA,NA,NA,NA,NA,NA,NA,NA
D-206833,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,122,45,42,3,13.9,9,8.8,4.9,53.1,24.7,60,4,2,3,3,4,2,3,2
D-206834,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,117,41,38,3,13.5,7.7,8.5,4.8,48.7,24.1,60,4,2,4,5,4,2,3,2
D-206835,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,121,39,39,0,12.7,7.8,8.5,5.8,50.5,26,70,4,1,2,3,4,4,1,3
D-206836,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,117,42,39,3,11.4,7.9,9.2,5,49.3,22.2,50,4,1,3,4,4,2,1,2
